case_name,feature_tag,feature_name,model,mae_test_median,mae_test_std,rmse_test_median,rmse_test_std,mape_test_median,mape_test_std,mae_train_median,mae_train_std,rmse_train_median,rmse_train_std,mape_train_median,mape_train_std,fit_time_s_median,fit_time_s_std,pred_time_test_s_median,pred_time_test_s_std,fit_ms_per_train_sample_median,fit_ms_per_train_sample_std,pred_us_per_test_sample_median,pred_us_per_test_sample_std
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,en,0.010827505569248283,0.002180127737301302,0.01313096622677922,0.002377103719902013,1.3439935339671383,0.2708089956816537,0.010640199378732517,0.0006324091725356966,0.012987926258618752,0.0005973873390316739,1.337369723189598,0.07920682971283398,0.0011781338835135102,8.752977674246269e-05,0.00019437645096331835,7.426141865737818e-06,0.026180752966966894,0.0019451061498325047,16.198037580276527,0.6188451554781514
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,gpr,0.013495233364062604,0.0020275250299797926,0.016525832720219874,0.002014894988748108,1.7004277925165208,0.2558732675817181,0.012765819364135426,0.005684593571726208,0.015473838343726076,0.006846013117366211,1.6054362076657651,0.715945372545878,0.03153929463587701,0.006882932310857392,0.00032118556555360556,2.385866693305344e-05,0.7008732141306003,0.15295405135238652,26.765463796133794,1.9882222444211197
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,informer,0.011880033388932548,0.0025781773721834256,0.014406792643089016,0.002912382556056919,1.4900219306907945,0.3200307507139775,0.011256653181923763,0.0018547352195678068,0.013817051646693179,0.0022754848732746582,1.4198693564520024,0.23406593791219416,0.7296692064264789,0.23937550975199773,0.001842936035245657,2.341779783069964e-05,16.214871253921753,5.3194557722666165,153.57800293713808,1.9514831525583027
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,lasso,0.01089462171224218,0.0021191887297556168,0.013224027403977628,0.002310121046895471,1.368016211909676,0.26331944052746453,0.010724263840803178,0.0006267959510254152,0.01301818526147501,0.0005961035697892675,1.3479948273521072,0.07851971362163991,0.00116971496026963,0.0004387358467054177,0.00019611208699643612,8.782674420962266e-06,0.025993665783769555,0.009749685482342613,16.342673916369677,0.7318895350801888
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,0.010675687618241406,0.0022891850788741863,0.013016338363501809,0.0024852393392208066,1.3271040790809925,0.28446384623995935,0.01056271462753813,0.0006349330810288212,0.01297770353587251,0.0005988308395569622,1.3279642926736919,0.07950278580693795,0.0009978204034268856,0.0001260505289168497,0.0001840329496189952,1.017988056663155e-05,0.02217378674281968,0.002801122864818882,15.336079134916266,0.8483233805526292
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,mlp,0.015936657031682684,0.008745207949480548,0.019144560145162214,0.013979124057991921,2.0058139963180954,1.121966755975665,0.011216449075587246,0.005063950161003475,0.01434070954053971,0.006744219527487465,1.4081172313821497,0.6379758907070251,0.1949214815394953,0.2087638082578218,0.00038166309241205454,2.817199992662806e-05,4.331588478655451,4.639195739062707,31.805257701004543,2.347666660552338
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,rf,0.011708677528934988,0.0023743074465988018,0.015087160562300753,0.0028865474262885246,1.4675922999601987,0.2954864127764338,0.004551455584655948,0.0004482792086311206,0.006067030918908063,0.00052601048816512,0.5720126460719843,0.05626408050350079,0.5140634843846783,0.016707786704204024,0.06481394544243813,0.005196561942742863,11.423632986326185,0.37128414898231155,5401.1621202031765,433.0468285619052
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,ridge,0.010663999371513074,0.002225500544183297,0.012967855467570594,0.0024126512556906176,1.328456809787943,0.27637787244892037,0.010596462393109029,0.0006366850861869669,0.012978669717986918,0.0005975187562358642,1.3321272696022093,0.07975006572116171,0.0010702494764700532,5.855542229033265e-05,0.00018646800890564919,6.890947912116982e-06,0.023783321699334517,0.0013012316064518366,15.539000742137432,0.5742456593430818
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,svm,0.013750670243662685,0.0042628678782079535,0.016827093941461195,0.005936945233861963,1.7273271326648665,0.5407109295462139,0.009132503056730329,0.0005823052065346751,0.010713894445949687,0.0006826200080557489,1.1487649918391467,0.07289934643739554,0.0016268804902210832,0.00015297371462716773,0.00024623109493404627,6.900998083268305e-05,0.036152899782690734,0.0033994158806037273,20.51925791117052,5.750831736056918
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,transformer,0.013351951199372616,0.004876550341873625,0.016497602269984733,0.005796875807548446,1.6767731184336263,0.6160500893042782,0.011871727657741969,0.004173189091319524,0.014391577009928002,0.00522986501693844,1.4958248953247448,0.5242267762060737,0.6136773799080402,0.24486062237002237,0.0015978036681190133,2.5046442912497586e-05,13.63727510906756,5.441347163778275,133.15030567658442,2.0872035760414662
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,xgb,0.01664549405177434,0.0030509177823796734,0.02041325804003382,0.0032352156865787887,2.103667433322766,0.38458438323593086,0.002679887402852372,0.0006541098492287556,0.004850078714181362,0.0010309139114176415,0.33798807192338237,0.08215171111711198,0.2141849355539307,0.029645180153367357,0.0011388645507395267,6.689766001562814e-05,4.759665234531793,0.6587817811859413,94.9053792282939,5.5748050013023445
