case_name,feature_tag,feature_name,model,feature,importance_median,importance_std,importance_mean
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,fai_irrev_1C__W30__SOC5,0.028396868619456388,0.010364232070426038,0.028130371442393037
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,fai_irrev_1.5C__W30__SOC5,0.02024607727153461,0.009117440865654605,0.0208505891792299
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,fai_irrev_2.5C__W30__SOC5,0.013273115273678113,0.008484800601945801,0.013781803638296697
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,fai_irrev_2C__W30__SOC5,0.012920337054579428,0.0068529988258195194,0.01270303130581282
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,fai_irrev_0.5C__W30__SOC5,0.005855294946752914,0.005007149371708729,0.0068055738729656265
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,ridge,fai_irrev_1C__W30__SOC5,0.01813503267137448,0.0045934419993167615,0.017745909997915223
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,ridge,fai_irrev_2C__W30__SOC5,0.009875383659511837,0.0046249274396327365,0.009235718288557454
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,ridge,fai_irrev_2.5C__W30__SOC5,0.009806832148882057,0.0035062478634911042,0.009509354636511248
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,ridge,fai_irrev_1.5C__W30__SOC5,0.006343860038394768,0.0033934844386954172,0.006197860203732466
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,ridge,fai_irrev_0.5C__W30__SOC5,0.005179421938429019,0.003586656197726938,0.005256021429382481
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,lasso,fai_irrev_1C__W30__SOC5,0.02252524493936046,0.007727031783527749,0.022007457451163948
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,lasso,fai_irrev_2C__W30__SOC5,0.004269745565664248,0.006372274686957723,0.00595750036208602
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,lasso,fai_irrev_2.5C__W30__SOC5,0.0021423420275214966,0.004795071164732503,0.003972214356504096
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,lasso,fai_irrev_0.5C__W30__SOC5,2.0600251264730203e-05,0.0033051700626336358,0.0019480407418588906
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,lasso,fai_irrev_1.5C__W30__SOC5,0.0,0.0005692120585385742,5.6921205853857404e-05
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,en,fai_irrev_1C__W30__SOC5,0.022067951471595806,0.007544918221376737,0.021764059946676538
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,en,fai_irrev_2C__W30__SOC5,0.004698302786799386,0.006329577103185587,0.006225134986404084
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,en,fai_irrev_2.5C__W30__SOC5,0.002978605931588372,0.0048290713215406655,0.004244540947510786
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,en,fai_irrev_0.5C__W30__SOC5,0.00041189869744942043,0.0033653387519722413,0.002147482806475401
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,en,fai_irrev_1.5C__W30__SOC5,0.0,0.0005895383564425132,5.895383564425133e-05
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,svm,fai_irrev_1C__W30__SOC5,0.04366606177866179,0.018196370189920534,0.04452194536965237
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,svm,fai_irrev_0.5C__W30__SOC5,0.03695637205058051,0.018460456720385397,0.038547928582823306
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,svm,fai_irrev_2C__W30__SOC5,0.035417692853082064,0.015478438444994387,0.03515043046915778
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,svm,fai_irrev_2.5C__W30__SOC5,0.029885204592007227,0.01463727231152244,0.03255030387868882
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,svm,fai_irrev_1.5C__W30__SOC5,0.024332575353002255,0.01211742049715395,0.02640511004447191
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,rf,fai_irrev_2C__W30__SOC5,0.5637465999587148,0.1176497414843872,0.5120215812513458
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,rf,fai_irrev_1C__W30__SOC5,0.17124988860460097,0.08337304647936053,0.19265810034134923
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,rf,fai_irrev_2.5C__W30__SOC5,0.11072730789675174,0.04356112006591194,0.1157089767638158
exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,rf,fai_irrev_1.5C__W30__SOC5,0.08905073562323622,0.03943801219733185,0.09983421071289011
