case_name,feature_tag,feature_name,model,mae_test_median,mae_test_std,rmse_test_median,rmse_test_std,mape_test_median,mape_test_std,mae_train_median,mae_train_std,rmse_train_median,rmse_train_std,mape_train_median,mape_train_std,fit_time_s_median,fit_time_s_std,pred_time_test_s_median,pred_time_test_s_std,fit_ms_per_train_sample_median,fit_ms_per_train_sample_std,pred_us_per_test_sample_median,pred_us_per_test_sample_std
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,en,0.0150354861225581,0.0021745309212418,0.019143405399386,0.0023530026885231,1.984468873553578,0.2958345471285735,0.0145791904978721,0.0006106313228738,0.0184954302585447,0.00060685218183,1.937406310951045,0.0827116107200094,0.0012212637811899,7.798850555302017e-05,0.0002016287762671,2.2859473713665427e-05,0.0150773306319743,0.0009628210562101,9.60137029843671,1.0885463673174014
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,gpr,0.013696221377615,0.0018690862810019,0.0170277357152558,0.002243056798173,1.8183659209057224,0.2512142706520399,0.0129490633688317,0.0004654443290164,0.0161873091797769,0.0005963995508905,1.708722060918196,0.0631460272988346,0.0409980525728315,0.0118787944152812,0.0003447334747761,2.260332058803613e-05,0.5061487971954508,0.1466517829047068,16.41587975124518,1.0763485994302922
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,informer,0.0148987703940982,0.0030135979360443,0.0184625984419473,0.0033103936059798,1.9827850231593525,0.3903941722742281,0.0140076715540002,0.0014673668371549,0.0175783063728721,0.0017384115956452,1.8581009519684757,0.1915796966040474,1.0355974533595145,0.4067866468523093,0.0018683730158954,2.1042570849291515e-05,12.78515374517919,5.022057368547027,88.97014361407075,1.0020271832995953
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,lasso,0.0151277387813534,0.0021736680127071,0.0191694412406798,0.0022866994509411,2.00304366608464,0.2957142119182409,0.0146367523340515,0.0006141016032334,0.0185152300553652,0.0006061988266375,1.9451752333357544,0.0831321574952501,0.0012148374225944,0.0001144278841489,0.0001983556430786,1.605141568722689e-05,0.0149979928715361,0.0014126899277644,9.445506813270704,0.7643531279631852
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,linear,0.0149577673174613,0.0021794307673222,0.0190384512221626,0.0024356618555994,1.976424144687542,0.2964826530573924,0.0145217716746548,0.0006066170726996,0.0184882055367962,0.0006070925065165,1.9285089935333355,0.0822332005912036,0.0009997109882533,8.539096435627777e-05,0.0001856135204434,2.028219697329487e-05,0.0123421109660908,0.0010542094364972,8.838739068735213,0.9658189034902316
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,mlp,0.0150223471899469,0.0032114653081916,0.0185085527833595,0.0037548334371419,1.983697554071294,0.425632475165243,0.013448144971129,0.0015156590730159,0.0169567924589116,0.0019079167752848,1.7882969106091853,0.1974207250232378,0.3735064549837261,0.120170915815555,0.0004567163996398,2.454983743781422e-05,4.611190802268224,1.483591553278457,21.748399982849755,1.1690398779911535
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,rf,0.0170154795328933,0.0022603431540899,0.0213983484756779,0.0026707856337848,2.244989112855799,0.3119887959835405,0.0079680596669796,0.0004665370931214,0.010278773395001,0.0006853895103729,1.0491347210208009,0.061957447597341,0.528673822293058,0.0143803380564221,0.0853473795577883,0.0026873098948171,6.5268373122599765,0.1775350377336066,4064.160931323256,127.96713784843708
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,ridge,0.0150090388022501,0.0021746505660842,0.0191216607503534,0.0023655694839998,1.9833094623499687,0.2958313323596592,0.0145672880013755,0.0006097217731254,0.0184929488908531,0.0006069122097803,1.935476719460743,0.0826063426240985,0.0010651010088622,7.306991033757012e-05,0.0001883765216916,2.1544085039442548e-05,0.0131493951711389,0.0009020976584885,8.970310556746664,1.025908811402026
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,svm,0.014647309594214,0.0023814366953279,0.0180402707540986,0.0031194363672852,1.9344844502739056,0.3273520935586411,0.0126895977254916,0.0005332531988925,0.0160471065464789,0.0007098328707462,1.672430432437184,0.0714924508381886,0.0020461459644138,0.0001593434004316,0.000286869239062,1.5192042836905572e-05,0.0252610612890602,0.0019672024744645,13.660439955336706,0.7234306112812176
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,transformer,0.0159790663532983,0.0036018832881513,0.0197021000670274,0.0043048549615482,2.128273441094032,0.4819844391193498,0.0146654012027787,0.0017869223925529,0.0185417830886465,0.0022987107745434,1.946411660769448,0.2428476241848063,0.8165315613150597,0.3653615922078868,0.0016129498835653,2.648580072966128e-05,10.080636559445182,4.510636940838109,76.80713731263366,1.2612286061743474
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,xgb,0.018985654790515,0.0026973760286941,0.0232691993090655,0.0031726932818049,2.5114652077505104,0.3676646986837199,0.0048412549562807,0.0005858424588404,0.0084808056976164,0.000900374213525,0.6321671408162459,0.0764489729467599,0.2691379846073687,0.0341691072971539,0.001526404870674,5.9800773070460135e-05,3.3226911679922067,0.4218408308290607,72.68594622257211,2.8476558604981013
